   146.66660    -42.30800    147.32040    -42.90990      2.90808     85.68648
   145.59250    -42.03560    146.81810    -42.03020      3.03435    101.22469
   146.73570    -42.16340    147.13420    -42.71840      2.92653     69.84130
   146.63270    -42.00140    147.31010    -42.54010      3.01881     81.82090
   146.63270    -42.00140    147.13420    -42.71840      3.03104     89.74511
   146.63270    -42.00140    146.94360    -42.59720      2.99041     71.01298
   146.63270    -42.00140    147.07670    -42.56760      2.99959     72.78609
   146.63270    -42.00140    147.29060    -42.36740      3.09672     67.78369
   146.63270    -42.00140    146.76120    -42.65120      2.97067     73.02259
   146.63270    -42.00140    147.32040    -42.90990      2.98179    115.70640
   146.46650    -42.14960    146.94360    -42.59720      2.96923     63.34947
   146.46650    -42.14960    147.45990    -42.69470      3.11722    101.60050
   146.46650    -42.14960    147.49740    -42.32770      2.96469     87.14647
   146.46650    -42.14960    147.52330    -42.00380      2.92980     88.71549
   146.46650    -42.14960    147.30170    -42.05270      2.97478     69.74309
   146.46650    -42.14960    147.49670    -42.18180      3.02438     84.98239
   146.46650    -42.14960    147.07670    -42.56760      2.88649     68.36754
   146.46650    -42.14960    147.29060    -42.36740      2.99825     72.01525
   146.46650    -42.14960    147.31110    -42.17890      3.06565     69.68810
   146.96390    -41.96270    146.76120    -42.65120      3.04514     78.35127
   147.10680    -41.79170    146.72460    -42.46700      2.99085     81.43628
   147.32040    -42.90990    146.55040    -41.72250      3.08313    146.42551
   147.32040    -42.90990    146.31510    -41.72450      2.99650    155.58011
   147.32040    -42.90990    146.52850    -41.60130      3.07424    159.43678
   147.19030    -42.44170    146.63270    -42.00140      3.03978     67.12096
   146.89520    -42.11270    146.76120    -42.65120      2.93547     60.88157
   146.82970    -41.81380    147.09380    -42.40440      3.06464     69.19102
   146.82970    -41.81380    146.94360    -42.59720      3.10607     87.61381
   146.82970    -41.81380    147.07670    -42.56760      3.05577     86.25343
   146.82970    -41.81380    146.93260    -42.43450      3.08954     69.53845
   146.82970    -41.81380    147.13420    -42.71840      2.97703    103.66057
   146.82970    -41.81380    146.76120    -42.65120      3.01567     93.28526
   146.82970    -41.81380    146.72460    -42.46700      3.00076     73.14762
   147.10220    -41.94620    146.72460    -42.46700      2.98462     65.73322
   147.31340    -41.90950    146.66660    -42.30800      3.08831     69.35640
   147.31340    -41.90950    146.46650    -42.14960      3.01060     74.87149
   147.10460    -42.10300    146.76120    -42.65120      2.95122     67.16708
   146.68800    -42.63190    146.04980    -41.43470      3.04130    143.17659
   147.08260    -42.26830    147.32040    -42.90990      2.82663     73.95094
   147.90100    -42.14230    147.32040    -42.90990      2.85916     97.71779
   147.90100    -42.14230    146.94360    -42.59720      2.89663     93.51265
   147.90100    -42.14230    146.76120    -42.65120      2.85296    109.37139
   147.90100    -42.14230    147.09380    -42.40440      2.88697     72.52760
   147.90100    -42.14230    147.13420    -42.71840      2.86488     89.80019
   147.90100    -42.14230    146.72460    -42.46700      2.88095    103.26032
   147.90100    -42.14230    147.07670    -42.56760      2.82519     82.60889
   147.90100    -42.14230    147.31010    -42.54010      2.88025     65.68999
   146.66660    -42.30800    147.49740    -42.32770      2.81151     68.34314
   146.66660    -42.30800    147.56450    -42.49640      2.87967     76.64433
   146.66660    -42.30800    147.70330    -42.44140      2.93974     86.44195
   146.66660    -42.30800    147.90100    -42.14230      2.95476    103.29713
   146.66660    -42.30800    147.70260    -42.28080      2.84554     85.26469
   146.66660    -42.30800    147.49670    -42.18180      2.95341     69.75557
   147.49670    -42.18180    146.72460    -42.46700      2.88674     70.95610
   147.49670    -42.18180    147.32040    -42.90990      2.80290     82.23910
   147.49880    -41.91690    147.13420    -42.71840      2.82880     94.02903
   147.49880    -41.91690    146.93260    -42.43450      2.92379     74.09064
   147.49880    -41.91690    147.39610    -42.65250      2.90015     82.23012
   147.49880    -41.91690    147.31010    -42.54010      2.79906     71.01702
   147.49880    -41.91690    147.70330    -42.44140      2.93154     60.70728
